config_id,total_min,micro_f1,micro_p,micro_r,delta_f1_vs_baseline,delta_time_pct,min_kw_f1
combined_best,9.65,1.0,1.0,1.0,0.0,70.1,1.0
voices_7,14.44,1.0,1.0,1.0,0.0,55.2,1.0
cohort_tts_0,15.7,1.0,1.0,1.0,0.0,51.3,1.0
cohort_stream_50,16.61,1.0,1.0,1.0,0.0,48.5,1.0
cohort_stream_100,17.28,1.0,1.0,1.0,0.0,46.4,1.0
calib_neg_2000,17.53,0.9,0.8182,1.0,-0.1,45.6,0.5
calib_neg_400,17.69,0.6429,0.4737,1.0,-0.3571,45.1,0.3333
cohort_tts_25,17.83,1.0,1.0,1.0,0.0,44.7,1.0
augment_0,18.47,1.0,1.0,1.0,0.0,42.7,1.0
augment_1,19.63,1.0,1.0,1.0,0.0,39.1,1.0
voices_13,24.38,1.0,1.0,1.0,0.0,24.4,1.0
voices_17,29.0,1.0,1.0,1.0,0.0,10.1,1.0
baseline,32.24,1.0,1.0,1.0,0.0,0.0,1.0
